type	gene_id
Best4+_Enterocytes	OTOP3
Best4+_Enterocytes	BEST4
Best4+_Enterocytes	CA7
Best4+_Enterocytes	PHGR1
Best4+_Enterocytes	OTOP2
Best4+_Enterocytes	MSLN
Best4+_Enterocytes	SULT1E1
Best4+_Enterocytes	KRT8
Best4+_Enterocytes	REN
Best4+_Enterocytes	CTSE
Best4+_Enterocytes	SPIB
Best4+_Enterocytes	CEACAM3
Best4+_Enterocytes	MYOM1
Best4+_Enterocytes	C4BPA
Best4+_Enterocytes	LGALS4
Best4+_Enterocytes	ADCY5
Best4+_Enterocytes	RP11-416N2.3
Best4+_Enterocytes	FABP1
Best4+_Enterocytes	FXYD3
Best4+_Enterocytes	MT1G
Best4+_Enterocytes	RP11-771K4.1
Best4+_Enterocytes	SERPINB5
Best4+_Enterocytes	KRT18
Best4+_Enterocytes	MEIS1
Best4+_Enterocytes	PCSK1N
Best4+_Enterocytes	DMBT1
Best4+_Enterocytes	GFI1B
Best4+_Enterocytes	NEURL
Best4+_Enterocytes	CLGN
Best4+_Enterocytes	LGALS3
Best4+_Enterocytes	KRT19
Best4+_Enterocytes	CA4
Best4+_Enterocytes	CLDN3
Best4+_Enterocytes	S100A6
Best4+_Enterocytes	EPCAM
Best4+_Enterocytes	CLDN7
Best4+_Enterocytes	MT2A
Best4+_Enterocytes	HES4
Best4+_Enterocytes	AC069277.2
Best4+_Enterocytes	MT1E
Best4+_Enterocytes	NBPF14
Best4+_Enterocytes	CLDN4
Best4+_Enterocytes	SDCBP2
Best4+_Enterocytes	LINC00694
Best4+_Enterocytes	S100A10
Best4+_Enterocytes	C2orf54
Best4+_Enterocytes	MT1H
Best4+_Enterocytes	RHOV
Best4+_Enterocytes	LINGO1
Best4+_Enterocytes	TSPAN1
Best4+_Enterocytes	ADAMTS14
Best4+_Enterocytes	VWC2
Best4+_Enterocytes	C15orf48
Best4+_Enterocytes	CTD-2319I12.1
Best4+_Enterocytes	ELF3
Best4+_Enterocytes	CPA2
Best4+_Enterocytes	C10orf99
Best4+_Enterocytes	MT1X
Best4+_Enterocytes	HRCT1
Best4+_Enterocytes	PIGR
Best4+_Enterocytes	LYPD8
Best4+_Enterocytes	PROX1
Best4+_Enterocytes	UNC5C
Best4+_Enterocytes	TMEM54
Best4+_Enterocytes	KRT20
Best4+_Enterocytes	SLC2A5
Best4+_Enterocytes	CDK18
Best4+_Enterocytes	RP11-798K3.2
Best4+_Enterocytes	HEPACAM2
Best4+_Enterocytes	CCL23
Best4+_Enterocytes	DOCK4
Best4+_Enterocytes	KCNIP4
Best4+_Enterocytes	NOTCH2NL
Best4+_Enterocytes	LUZP2
Best4+_Enterocytes	CYSTM1
Best4+_Enterocytes	CPA6
Best4+_Enterocytes	PRSS3
Best4+_Enterocytes	ITM2C
Best4+_Enterocytes	SRI
Best4+_Enterocytes	NBPF10
Best4+_Enterocytes	MT1M
Best4+_Enterocytes	NOTCH2
Best4+_Enterocytes	KRT13
Best4+_Enterocytes	RP11-17M24.1
Best4+_Enterocytes	CST3
Best4+_Enterocytes	CASP16
Best4+_Enterocytes	SMIM22
Best4+_Enterocytes	RP11-416N2.4
Best4+_Enterocytes	GUCA2A
Best4+_Enterocytes	CEACAM6
Best4+_Enterocytes	CKB
Best4+_Enterocytes	RNA18S5
Best4+_Enterocytes	IFI27
Best4+_Enterocytes	CEACAM5
Best4+_Enterocytes	SCRN1
Best4+_Enterocytes	CA2
Best4+_Enterocytes	ACPP
Best4+_Enterocytes	CCNYL1
Best4+_Enterocytes	NPY1R
Best4+_Enterocytes	S100A14
Best4+_Enterocytes	C19orf33
Best4+_Enterocytes	TSPAN8
Best4+_Enterocytes	SCIN
Best4+_Enterocytes	AOC1
Best4+_Enterocytes	MT1F
Best4+_Enterocytes	ETHE1
Best4+_Enterocytes	HSPB1
Best4+_Enterocytes	STAP2
Best4+_Enterocytes	SPINT2
Best4+_Enterocytes	PRR15L
Best4+_Enterocytes	ID1
Best4+_Enterocytes	VSIG2
Best4+_Enterocytes	CDX1
Best4+_Enterocytes	GPRC5C
Best4+_Enterocytes	MPST
Best4+_Enterocytes	MUC13
Best4+_Enterocytes	FAM3D
Best4+_Enterocytes	GPA33
Best4+_Enterocytes	TST
