type	gene_id
colon-specific	CEACAM7
colon-specific	CD59
colon-specific	SFN
ileum-specific	ALDOB
colon-specific	MUC4
ileum-specific	HLA-DRA
ileum-specific	SERPINA1
ileum-specific	DPP4
colon-specific	CA4
colon-specific	EMP1
colon-specific	KLF4
colon-specific	PRDX6
ileum-specific	ENPEP
colon-specific	KTN1
colon-specific	CA12
colon-specific	SLC16A1
ileum-specific	ACE2
ileum-specific	MME
ileum-specific	XPNPEP2
ileum-specific	MAF
ileum-specific	HLA-DRB1
colon-specific	CEACAM6
ileum-specific	CYP3A4
colon-specific	FXYD3
colon-specific	ETNK1
colon-specific	TFRC
colon-specific	CEACAM1
colon-specific	NOX1
ileum-specific	ALPI
colon-specific	CLDN3
colon-specific	PRKACB
colon-specific	SUCLG2
colon-specific	MUC1
colon-specific	PTP4A1
colon-specific	HIGD1A
ileum-specific	AQP3
ileum-specific	HLA-DQB1
ileum-specific	SLC2A5
ileum-specific	GLRX
colon-specific	AHCYL2
colon-specific	IL1R2
colon-specific	LITAF
colon-specific	SATB2
colon-specific	SRI
colon-specific	UBE2A
ileum-specific	KHK
ileum-specific	HLA-DRB3
colon-specific	GLUL
colon-specific	NDRG2
colon-specific	ABCC3
colon-specific	FERMT1
colon-specific	MARCKS
ileum-specific	PRSS2
ileum-specific	GPD1
colon-specific	CWH43
ileum-specific	SLC37A4
colon-specific	DBI
ileum-specific	FTL
ileum-specific	KCNJ13
ileum-specific	APOA1
ileum-specific	SFXN3
colon-specific	TLE2
colon-specific	EXPH5
colon-specific	FLNB
colon-specific	PDE8A
colon-specific	DDAH2
ileum-specific	P4HB
colon-specific	ARF3
colon-specific	PLAGL1
ileum-specific	ALDH1A1
ileum-specific	APOB
ileum-specific	APOC3
ileum-specific	CBR1
ileum-specific	CD74
ileum-specific	CYBRD1
ileum-specific	DEFA5
ileum-specific	DFNA5
ileum-specific	FAM3C
ileum-specific	GSTO1
ileum-specific	HLA-DMA
ileum-specific	IL32
ileum-specific	LIPA
ileum-specific	MEP1B
ileum-specific	OAT
ileum-specific	REG1A
ileum-specific	REG3A
ileum-specific	SI
ileum-specific	SLC7A9
colon-specific	VAV3
ileum-specific	RBKS
colon-specific	LPCAT4
colon-specific	ACOT13
colon-specific	ATP5B
colon-specific	BSG
colon-specific	CA2
colon-specific	CD177
colon-specific	CD9
colon-specific	CNNM4
colon-specific	ESRP1
colon-specific	ETHE1
colon-specific	FABP1
colon-specific	GOLM1
colon-specific	GPD1L
colon-specific	HDAC1
colon-specific	IMPA2
colon-specific	ITM2C
colon-specific	LGALS3
colon-specific	MS4A12
colon-specific	NANS
colon-specific	NETO2
colon-specific	OPN3
colon-specific	RAB25
colon-specific	SELENBP1
colon-specific	SH3BGRL3
colon-specific	SLC26A2
colon-specific	SQRDL
colon-specific	TST
colon-specific	UGDH
colon-specific	UGP2
colon-specific	PLCE1
ileum-specific	GATM
colon-specific	ELOVL1
colon-specific	RP1-37E16.12
ileum-specific	GSTA1
ileum-specific	HEBP1
ileum-specific	PCK2
ileum-specific	PDZK1
ileum-specific	TMPRSS15
colon-specific	NDUFB2
colon-specific	EIF4G3
colon-specific	SEMA5A
colon-specific	TNFRSF21
colon-specific	APOBEC3B
colon-specific	BTBD3
colon-specific	CLCA4
colon-specific	HMGCS2
colon-specific	HNRNPAB
colon-specific	MGLL
colon-specific	TMPRSS4
colon-specific	LRPPRC
ileum-specific	SULT2A1
colon-specific	CAP1
colon-specific	FRYL
colon-specific	PHB
colon-specific	SPTSSA
colon-specific	WIPI1
colon-specific	MICAL2
colon-specific	SLC39A8
ileum-specific	ABCG5
ileum-specific	ABHD14A-ACY1
ileum-specific	ACY1
ileum-specific	ANPEP
ileum-specific	APOBEC1
ileum-specific	CREB3L2
ileum-specific	CRYZ
ileum-specific	DPEP1
ileum-specific	MGAM
ileum-specific	MTTP
ileum-specific	NQO2
ileum-specific	PLIN2
ileum-specific	PMP22
ileum-specific	PRODH
ileum-specific	PSMB9
ileum-specific	PSME2
ileum-specific	RGS2
ileum-specific	SLC52A1
ileum-specific	SLC7A7
ileum-specific	TM4SF20
ileum-specific	TM4SF4
ileum-specific	VNN1
ileum-specific	GSTM4
ileum-specific	AADAC
ileum-specific	DEFA6
ileum-specific	MAOB
ileum-specific	PEPD
ileum-specific	SLC5A1
ileum-specific	CPS1
ileum-specific	FYN
colon-specific	ADORA2B
colon-specific	C15orf38-AP3S2
colon-specific	COA3
colon-specific	CSTB
colon-specific	EHF
colon-specific	FABP5
colon-specific	GMNN
colon-specific	MXI1
colon-specific	MYO5C
colon-specific	NARS
colon-specific	NXPE4
colon-specific	PACSIN2
colon-specific	PLAC8
colon-specific	PPARG
ileum-specific	ESPL1
colon-specific	DSTN
ileum-specific	AQP1
ileum-specific	CYP2C18
colon-specific	APOBR
colon-specific	AQP8
ileum-specific	AGPAT1
colon-specific	CTNNA1
colon-specific	PRR5-ARHGAP8
colon-specific	DDR1
colon-specific	DLAT
colon-specific	IQGAP1
colon-specific	SLC35D1
colon-specific	TOX3
ileum-specific	AKR1C3
colon-specific	ARHGAP8
ileum-specific	FBP1
ileum-specific	KIAA1551
colon-specific	B4GALT5
colon-specific	F2RL1
colon-specific	GPRC5A
colon-specific	MUC5B
colon-specific	NCK1
colon-specific	OASL
colon-specific	TSPAN6
colon-specific	VDAC2
colon-specific	CYCS
ileum-specific	SLC3A1
ileum-specific	CYP2C9
colon-specific	TJP3
ileum-specific	APOA4
