type	gene_id
colon-like	CEACAM7
colon-like	CA2
colon-like	NXPE4
colon-like	MS4A12
colon-like	LEFTY1
colon-like	AQP8
colon-like	VSIG2
colon-like	CWH43
colon-like	RP11-526A4.1
colon-like	B3GALT1
colon-like	EYA2
colon-like	CA1
colon-like	RP11-747D18.1
colon-like	BEST2
colon-like	DHRS9
colon-like	MUC5B
colon-like	HOXD10
colon-like	AP000472.2
colon-like	CTAGE14P
colon-like	ABHD12B
colon-like	RP11-321G12.1
colon-like	SLC16A9
colon-like	RP11-172C16.4
colon-like	GAL3ST2
colon-like	SATB2-AS1
colon-like	RHBDL2
colon-like	L1TD1
colon-like	AC073133.1
colon-like	CA12
colon-like	HOXA13
colon-like	CD177
colon-like	HOXA11
colon-like	SCNN1G
colon-like	VSNL1
colon-like	QTRT1P1
colon-like	LINC01612
colon-like	TFCP2L1
colon-like	COX6B2
colon-like	SCNN1B
colon-like	RP11-396O20.2
colon-like	FOXD2
colon-like	LINC01559
colon-like	AC019330.1
colon-like	NXPE1
colon-like	CD24
colon-like	MTNR1A
colon-like	ABCB11
colon-like	HOXA11-AS
colon-like	RP11-356O9.2
colon-like	RP11-420N3.2
colon-like	GRM8
colon-like	HAVCR1
colon-like	NOX1
colon-like	VEPH1
colon-like	SLPI
colon-like	CKB
colon-like	FAM184B
colon-like	OASL
colon-like	NRG4
colon-like	AIFM3
colon-like	PADI2
colon-like	RNF223
colon-like	STMND1
colon-like	TMEM72
colon-like	MYPN
colon-like	TTPA
colon-like	SLITRK5
colon-like	CA4
colon-like	DAO
colon-like	KCNG3
colon-like	ADORA2B
colon-like	HOXD11
colon-like	MUC4
colon-like	RP1-60O19.1
colon-like	SLC26A2
colon-like	POPDC3
colon-like	RHOV
colon-like	RP11-832A4.7
colon-like	ANKDD1B
colon-like	B4GALNT2
colon-like	CEACAM5
colon-like	VLDLR-AS1
colon-like	FREM2
colon-like	RPL10L
colon-like	KLK3
colon-like	RP11-84C10.4
colon-like	ADGB
colon-like	SLC9A2
colon-like	SERPINA6
colon-like	PARM1
colon-like	RP11-349K16.1
colon-like	FXYD3
colon-like	CA3-AS1
colon-like	PIGZ
colon-like	PPP1R14C
colon-like	RIMKLA
colon-like	RP11-567C2.1
colon-like	C10orf99
colon-like	RP11-44F21.3
colon-like	HOTTIP
colon-like	OXGR1
colon-like	SLC37A2
colon-like	B4GALNT3
colon-like	ANKRD45
colon-like	FSIP1
colon-like	PLCD3
colon-like	FSIP2
colon-like	CEACAM1
colon-like	RP11-255H23.2
colon-like	SLC39A2
colon-like	MUC12
colon-like	C5orf17
colon-like	RP11-382N13.3
colon-like	CTA-363E6.2
colon-like	RP11-471M2.3
colon-like	SLC38A4
colon-like	ATP13A4
colon-like	KCNE2
colon-like	CD24P4
colon-like	P3H2
colon-like	RP11-467J12.4
colon-like	SATB2
colon-like	AC074363.1
colon-like	SPINK5
colon-like	AC013472.3
colon-like	MUC16
colon-like	KRT24
colon-like	RP11-356M20.1
colon-like	MAPRE3
colon-like	LINC00668
colon-like	RP11-227H15.4
colon-like	ERBB4
colon-like	MESP2
colon-like	HOXA10-AS
colon-like	LINC00507
colon-like	AZIN2
colon-like	IL1R2
colon-like	KLK15
colon-like	SLC4A10
colon-like	POSTN
colon-like	PWRN1
colon-like	PARD6G-AS1
colon-like	RP1-278O22.1
colon-like	DRD5
colon-like	HSPA1A
colon-like	HNRNPA1P26
colon-like	AP003774.1
colon-like	PITPNM3
colon-like	LANCL3
colon-like	RP11-509E10.3
colon-like	SFTPA2
colon-like	NRAP
colon-like	LDHD
colon-like	AK1
colon-like	OTOP2
colon-like	HS6ST2
colon-like	RP11-456J20.1
colon-like	CDCA4P2
colon-like	AP001610.9
colon-like	HK2
colon-like	CTD-2571E19.3
colon-like	MCOLN2
colon-like	AHCYL2
colon-like	NPY1R
colon-like	HDAC1P1
colon-like	SVOPL
colon-like	HSPA1B
colon-like	RP11-334L9.1
colon-like	IL20RA
colon-like	RP5-965G21.4
colon-like	CCDC60
colon-like	TRIM58
colon-like	OR2W3
colon-like	RNF183
colon-like	HMGCS2
colon-like	LAMC3
colon-like	ALDH1L1
colon-like	SLC26A3
colon-like	RP11-460N11.2
colon-like	ZBTB10
colon-like	HES5
colon-like	NUPR2
colon-like	CNTN3
colon-like	AC114730.5
colon-like	AKR7A2P1
colon-like	ADGRV1
colon-like	DMRT2
colon-like	CA7
colon-like	RBFOX1
colon-like	HRK
colon-like	SAMD13
colon-like	OR51E2
colon-like	MUC5AC
colon-like	ZG16
colon-like	PLCE1
colon-like	RP11-255H23.4
colon-like	RP11-2I17.4
colon-like	RP11-538D16.2
colon-like	CTSV
colon-like	LYPD8
colon-like	SELENBP1
colon-like	RP11-708H21.1
colon-like	LA16c-60D12.2
colon-like	AC114730.3
colon-like	RP11-486F17.1
colon-like	PLCE1-AS2
colon-like	RP11-48B3.5
colon-like	PTGDR
colon-like	ZBTB7C
colon-like	IGLV4-3
colon-like	FOXD2-AS1
colon-like	RP11-443P15.2
colon-like	OTUD7A
colon-like	SQRDL
colon-like	RP11-44F21.5
colon-like	AC073133.2
colon-like	VDAC1P13
colon-like	TEX11
colon-like	RP11-8L2.1
colon-like	ANKRD22
colon-like	CLCA4
colon-like	AC011513.3
colon-like	LRFN4
colon-like	ALG1L
colon-like	SPAG1
colon-like	RPL9P28
colon-like	CHRNA1
colon-like	RAD51AP2
colon-like	PPARG
colon-like	RPL21P75
colon-like	CAPN8
colon-like	RP11-382N13.1
colon-like	ALDH3A1
colon-like	RP11-696N14.1
colon-like	KLK1
colon-like	RP4-651E10.4
colon-like	NPY5R
colon-like	PDE6A
colon-like	PF4
colon-like	EXPH5
colon-like	IL1RL2
colon-like	MOBP
colon-like	ITM2C
colon-like	BNIP3P4
colon-like	DPP10-AS1
colon-like	AXDND1
colon-like	NKX3-2
colon-like	CTD-2308L22.1
colon-like	LINC01344
colon-like	ST3GAL4
colon-like	KCNN4
colon-like	VSTM2A
colon-like	SLC4A4
colon-like	CEACAM6
colon-like	CLIC6
colon-like	C4BPA
colon-like	BNIP3P39
colon-like	FOXP4-AS1
colon-like	FFAR4
