type	gene_id
Enterocyte	CDHR5
Enterocyte	PHGR1
Enterocyte	IL32
Enterocyte	SEPP1
Enterocyte	ANPEP
Enterocyte	GUCA2A
Enterocyte	CTSD
Enterocyte	AMN
Enterocyte	PRAP1
Enterocyte	MISP
Enterocyte	FABP1
Enterocyte	ADIRF
Enterocyte	AGPAT2
Enterocyte	CES2
Enterocyte	MT-CO1
Enterocyte	PCK1
Enterocyte	KRT19
Enterocyte	FTH1
Enterocyte	AOC1
Enterocyte	MALL
Enterocyte	SLC51B
Enterocyte	HLA-A
Enterocyte	FABP2
Enterocyte	FLJ22763
Enterocyte	MEP1A
Enterocyte	CYP3A5
Enterocyte	CST3
Enterocyte	ALDOB
Enterocyte	PRR13
Enterocyte	SMIM24
Enterocyte	DPEP1
Enterocyte	SULT1A1
Enterocyte	LINC01133
Enterocyte	MALAT1
Enterocyte	NEAT1
Enterocyte	ATP1A1
Enterocyte	SGK1
Enterocyte	HLA-DRB1
Enterocyte	HLA-DRA
Enterocyte	RBP2
Enterocyte	CDKN2B-AS1
Enterocyte	ACE
Enterocyte	TMIGD1
Enterocyte	PRSS3
Enterocyte	GUCA2B
Enterocyte	APOB
Enterocyte	B2M
Enterocyte	APOC3
Enterocyte	KHK
Enterocyte	APOA1
Enterocyte	RHOC
Enterocyte	FABP6
Enterocyte	CYP3A4
Enterocyte	CRIP1
Enterocyte	SLC6A19
Enterocyte	CDHR2
Enterocyte	SULT1A2
Enterocyte	TMEM37
Enterocyte	EDF1
Enterocyte	GLRX
Enterocyte	SERPINA1
Enterocyte	CD74
Enterocyte	APOA4
Enterocyte	MT-ND5
Enterocyte	MYO1A
Enterocyte	SLC7A9
Enterocyte	NAALADL1
Enterocyte	ESPN
Enterocyte	FTL
Enterocyte	KRT20
Enterocyte	VAMP8
Enterocyte	DGAT1
Enterocyte	TCN2
Enterocyte	SLC22A18
Enterocyte	REEP6
Enterocyte	C11orf86
Enterocyte	SLC5A1
Enterocyte	C2orf88
Enterocyte	SAT2
Enterocyte	CYBRD1
Enterocyte	SLC9A3R1
Enterocyte	DNASE1
Enterocyte	TM4SF20
Enterocyte	GPX4
Enterocyte	LGALS2
Enterocyte	MS4A8
Enterocyte	FUOM
Enterocyte	RARRES3
Enterocyte	ARL4A
Enterocyte	LDHA
Enterocyte	DEFA5
Enterocyte	TMBIM6
Enterocyte	XPNPEP2
Enterocyte	ABHD11-AS1
Enterocyte	HLA-C
Enterocyte	GSTA1
Enterocyte	PCK2
Enterocyte	ASS1
Enterocyte	EZR
Enterocyte	PTGR1
Enterocyte	CBR1
Enterocyte	C19orf33
Enterocyte	BLOC1S1
Enterocyte	BIRC3
Enterocyte	ENPEP
Enterocyte	TMEM220
Enterocyte	TMEM176A
Enterocyte	IFI27
Enterocyte	MGAM
Enterocyte	CYB5A
Enterocyte	SLC26A3
Enterocyte	SLC15A1
Enterocyte	MTTP
Enterocyte	PMP22
Enterocyte	CNDP2
Enterocyte	PEPD
Enterocyte	REG1B
Enterocyte	HEBP1
Enterocyte	CREB3L3
Enterocyte	HPGD
Enterocyte	AKR7A3
Enterocyte	FAM3B
Enterocyte	SLC39A5
Enterocyte	CFDP1
Enterocyte	FBP1
Enterocyte	SDCBP2
Enterocyte	ATOX1
Enterocyte	ACAA1
Enterocyte	HLA-DRB5
Enterocyte	ISG15
Enterocyte	DHRS7
Enterocyte	UBC
Enterocyte	AADAC
Enterocyte	MYL12B
Enterocyte	OAT
Enterocyte	GDA
Enterocyte	SEMA3B
Enterocyte	MPST
Enterocyte	SI
Enterocyte	HLA-DQB1
Enterocyte	CYP2D6
Enterocyte	MME
Enterocyte	TMEM120A
Enterocyte	CLDN3
Enterocyte	ALPI
Enterocyte	TM4SF5
Enterocyte	BLVRB
Enterocyte	SAT1
Enterocyte	CPO
Enterocyte	S100A14
Enterocyte	SMPDL3A
Enterocyte	PDK4
Enterocyte	SLC7A7
Enterocyte	FCGRT
Enterocyte	CLDN4
Enterocyte	SLC10A2
Enterocyte	FAM132A
Enterocyte	CDKN1A
Enterocyte	CIDEB
Enterocyte	PDZK1
Enterocyte	TDP2
Enterocyte	DHRS11
Enterocyte	KRT8
Enterocyte	MUC17
Enterocyte	MIR194-2HG
Enterocyte	CHP2
Enterocyte	MS4A10
Enterocyte	AQP3
Enterocyte	NAPRT
Enterocyte	SLC5A12
Enterocyte	HSD17B11
Enterocyte	ANXA4
Enterocyte	MAF
Enterocyte	CLDN15
Enterocyte	ZFP36
Enterocyte	PBLD
Enterocyte	ACE2
Enterocyte	AKR1A1
Enterocyte	HHLA2
Enterocyte	PLAC8
Enterocyte	SLC6A8
Enterocyte	MT-ND2
Enterocyte	CMBL
Enterocyte	PSME2
Enterocyte	HSD17B2
Enterocyte	MDK
Enterocyte	SCIN
Enterocyte	MVP
Enterocyte	TMEM176B
Enterocyte	GUK1
Enterocyte	LGALS3BP
Enterocyte	NR1H4
Enterocyte	RTN4
Enterocyte	FBXW5
Enterocyte	SLC51A
Enterocyte	MYH14
Enterocyte	SPINT1
Enterocyte	LEAP2
Enterocyte	CD68
Goblet	TFF3
Goblet	FCGBP
Goblet	KLK1
Goblet	LRRC26
Goblet	ST6GALNAC1
Goblet	ITLN1
Goblet	REP15
Goblet	AGR2
Goblet	SH3BGRL3
Goblet	RNASE1
Goblet	CLCA1
Goblet	HEPACAM2
Goblet	NPDC1
Goblet	ATOH1
Goblet	SPINK4
Goblet	CREB3L1
Goblet	SMIM14
Goblet	TPSG1
Goblet	GSN
Goblet	TSPAN13
Goblet	KLF4
Goblet	STARD10
Goblet	SPDEF
Goblet	SLC12A2
Goblet	C12orf57
Goblet	WFDC2
Goblet	RPL36
Goblet	RPL38
Goblet	SPINK1
Goblet	SELK
Goblet	XBP1
Goblet	BCAS1
Goblet	RAB27A
Goblet	RPS12
Goblet	RPS29
Goblet	RPS11
Goblet	FOXA3
Goblet	SERF2
Goblet	TPM1
Goblet	HPCAL1
Goblet	MLPH
Goblet	SELM
Goblet	KRT18
Goblet	ZG16
Goblet	FAM3D
Goblet	GLUL
Goblet	FRZB
Goblet	KIAA1324
Goblet	RPLP2
Goblet	BEST2
Goblet	MUC1
Goblet	RP11-234B24.2
Goblet	RAP1GAP
Goblet	ERGIC1
Goblet	RPL27A
Goblet	REG4
Goblet	RASD1
Goblet	SCNN1A
Goblet	FOSB
Goblet	RPL10
Goblet	MB
Goblet	RPS27
Paneth-like	SPIB
Paneth-like	CA7
Paneth-like	FKBP1A
Paneth-like	CA4
Paneth-like	BEST4
Paneth-like	HSPB1
Paneth-like	TMSB10
Paneth-like	HES4
