type	gene_id
Enterocyte	PHGR1
Enterocyte	SLC26A3
Enterocyte	FABP1
Enterocyte	CDHR5
Enterocyte	C19orf33
Enterocyte	SLC26A2
Enterocyte	MT-CO1
Enterocyte	KRT19
Enterocyte	TMEM54
Enterocyte	PLAC8
Enterocyte	CEACAM7
Enterocyte	CA2
Enterocyte	MALAT1
Enterocyte	MS4A12
Enterocyte	TSPAN1
Enterocyte	KRT20
Enterocyte	MT-CO2
Enterocyte	CTSD
Enterocyte	KRT8
Enterocyte	MALL
Enterocyte	MT-CO3
Enterocyte	GCNT3
Enterocyte	BSG
Enterocyte	S100A6
Enterocyte	MISP
Enterocyte	SLC51B
Enterocyte	MT-ND5
Enterocyte	CES2
Enterocyte	GPA33
Enterocyte	UGP2
Enterocyte	C4orf48
Enterocyte	CEACAM1
Enterocyte	PKIB
Enterocyte	PRSS3
Enterocyte	CD24
Enterocyte	ASS1
Enterocyte	HK2
Enterocyte	MYH14
Enterocyte	TCEB2
Enterocyte	CEACAM5
Enterocyte	BLOC1S1
Enterocyte	CA1
Enterocyte	AMN
Enterocyte	LINC01133
Enterocyte	AOC1
Enterocyte	CLDN7
Enterocyte	MGLL
Enterocyte	FXYD3
Enterocyte	SDCBP2
Enterocyte	ANPEP
Enterocyte	CDKN2B-AS1
Enterocyte	SFN
Enterocyte	SMIM22
Enterocyte	NEAT1
Enterocyte	PRR13
Enterocyte	FLNB
Enterocyte	RHOC
Enterocyte	SELENBP1
Enterocyte	CDH17
Enterocyte	GNA11
Enterocyte	AGPAT2
Enterocyte	SEPP1
Enterocyte	LGALS3
Enterocyte	CLTB
Enterocyte	C2orf88
Enterocyte	PLS1
Enterocyte	MT-ND2
Enterocyte	CTSA
Enterocyte	CYSTM1
Enterocyte	MYL6
Enterocyte	CLDN4
Enterocyte	TMBIM6
Enterocyte	DHRS9
Enterocyte	KLF6
Enterocyte	MT-CYB
Enterocyte	MT-ND4
Enterocyte	MVP
Enterocyte	IL32
Enterocyte	ATP1B3
Enterocyte	EZR
Enterocyte	MT-ATP6
Enterocyte	HPGD
Enterocyte	SULT1A1
Enterocyte	CDKN2B
Enterocyte	AHCYL2
Enterocyte	HSD11B2
Enterocyte	MUC13
Enterocyte	CDKN1A
Enterocyte	ACTN4
Enterocyte	CST3
Enterocyte	IFI27
Enterocyte	ACOX1
Enterocyte	SRI
Enterocyte	MUC12
Enterocyte	ADIRF
Enterocyte	TMPRSS2
Enterocyte	CSTB
Enterocyte	ETNK1
Enterocyte	HSPB1
Enterocyte	CA4
Enterocyte	TSC22D1
Enterocyte	PIGR
Enterocyte	MYL12B
Enterocyte	PAQR8
Enterocyte	PRSS8
Enterocyte	TMEM45B
Enterocyte	TST
Enterocyte	APLP2
Enterocyte	MT-ND4L
Enterocyte	COL17A1
Enterocyte	MT-ND3
Enterocyte	CHP1
Enterocyte	MEP1A
Enterocyte	SERINC2
Enterocyte	POLD4
Enterocyte	GOLM1
Enterocyte	TMSB4X
Enterocyte	PAPSS2
Enterocyte	SLC20A1
Enterocyte	DSC2
Enterocyte	JUND
Enterocyte	TDP2
Enterocyte	HHLA2
Enterocyte	RETSAT
Enterocyte	CHMP4B
Enterocyte	ARL4A
Enterocyte	SCNN1B
Enterocyte	PP7080
Enterocyte	TPRN
Enterocyte	HN1
Goblet	TFF3
Goblet	FCGBP
Goblet	KLK1
Goblet	SPINK4
Goblet	SERPINA1
Goblet	LRRC26
Goblet	CLCA1
