type	gene_id
Enterocyte	PRAP1
Enterocyte	ALDOB
Enterocyte	DPEP1
Enterocyte	SMIM24
Enterocyte	ADIRF
Enterocyte	IL32
Enterocyte	ANPEP
Enterocyte	CDHR5
Enterocyte	PHGR1
Enterocyte	HLA-DRA
Enterocyte	SEPP1
Enterocyte	CD74
Enterocyte	FABP2
Enterocyte	RBP2
Enterocyte	AMN
Enterocyte	KHK
Enterocyte	SERPINA1
Enterocyte	HLA-DRB1
Enterocyte	GUCA2A
Enterocyte	FTH1
Enterocyte	ACE
Enterocyte	CST3
Enterocyte	CRIP1
Enterocyte	CTSD
Enterocyte	APOB
Enterocyte	PCK1
Enterocyte	FTL
Enterocyte	CYP3A4
Enterocyte	FABP1
Enterocyte	AGPAT2
Enterocyte	AOC1
Enterocyte	HLA-A
Enterocyte	SAT2
Enterocyte	FLJ22763
Enterocyte	SLC7A9
Enterocyte	EDF1
Enterocyte	SULT1A1
Enterocyte	FABP6
Enterocyte	GLRX
Enterocyte	GPX4
Enterocyte	MISP
Enterocyte	B2M
Enterocyte	SLC5A1
Enterocyte	APOC3
Enterocyte	NAALADL1
Enterocyte	SGK1
Enterocyte	APOA1
Enterocyte	SLC6A19
Enterocyte	MEP1A
Enterocyte	CYB5A
Enterocyte	DNASE1
Enterocyte	CDKN2B-AS1
Enterocyte	CDHR2
Enterocyte	LINC01133
Enterocyte	CES2
Enterocyte	SULT1A2
Enterocyte	FBP1
Enterocyte	PCK2
Enterocyte	IFI27
Enterocyte	CYP3A5
Enterocyte	NEAT1
Enterocyte	REEP6
Enterocyte	TCN2
Enterocyte	RHOC
Enterocyte	TMIGD1
Enterocyte	MS4A8
Enterocyte	PRSS3
Enterocyte	SLC51B
Enterocyte	XPNPEP2
Enterocyte	KRT19
Enterocyte	VAMP8
Enterocyte	MGAM
Enterocyte	APOA4
Enterocyte	CBR1
Enterocyte	PRR13
Enterocyte	C11orf86
Enterocyte	LDHA
Enterocyte	PEPD
Enterocyte	CYBRD1
Enterocyte	DGAT1
Enterocyte	DHRS7
Enterocyte	MALL
Enterocyte	ATP1A1
