type	gene_id
Enterocyte	SLC26A3
Enterocyte	MS4A12
Enterocyte	FABP1
Enterocyte	PLAC8
Enterocyte	ATP1B3
Enterocyte	MALL
Enterocyte	SEPP1
Enterocyte	CTSD
Enterocyte	PHGR1
Enterocyte	CEACAM7
Enterocyte	TSPAN1
Enterocyte	CDKN2B-AS1
Enterocyte	GUCA2A
Enterocyte	TMSB4X
Enterocyte	RHOC
Enterocyte	UGP2
Enterocyte	FTH1
Enterocyte	C2orf88
Enterocyte	CDHR5
Enterocyte	ITM2C
Enterocyte	PRDX6
Enterocyte	PKIB
Enterocyte	MUC12
Enterocyte	KRT20
Enterocyte	SLC26A2
Enterocyte	LINC01133
Enterocyte	CEACAM5
Enterocyte	IL32
Enterocyte	SDCBP2
Enterocyte	CD177
Enterocyte	TSPAN3
Enterocyte	PRSS3
Enterocyte	HPGD
Enterocyte	CEACAM1
Enterocyte	CLDN7
Enterocyte	MEP1A
Enterocyte	GPA33
Enterocyte	MISP
Enterocyte	PRR13
Enterocyte	C19orf33
Enterocyte	SMIM22
Enterocyte	B2M
Enterocyte	HLA-B
Enterocyte	TMIGD1
Enterocyte	TMEM54
Enterocyte	SLC51B
Enterocyte	CA4
Enterocyte	SLC6A8
Enterocyte	HHLA2
Enterocyte	GCNT3
Enterocyte	C12orf75
Enterocyte	CA2
Enterocyte	LDHA
Enterocyte	MYL12B
Enterocyte	HLA-C
Enterocyte	TSC22D1
Enterocyte	SLC9A3R1
Enterocyte	HLA-A
Enterocyte	ACTB
Enterocyte	MT-ND5
Enterocyte	SCNN1B
Enterocyte	SRI
Enterocyte	S100A6
Enterocyte	IFI27
Enterocyte	FXYD3
Enterocyte	CEACAM6
Enterocyte	CDKN1A
Enterocyte	TDP2
Enterocyte	CFL1
Enterocyte	CA1
Enterocyte	SLC40A1
Enterocyte	SFN
Enterocyte	DST
Enterocyte	CTSA
Enterocyte	ATP1A1
Enterocyte	TAX1BP3
Enterocyte	HN1
Enterocyte	MT-ND4L
Enterocyte	COL17A1
Enterocyte	VAMP8
Enterocyte	GUCA2B
Enterocyte	TMCO1
Enterocyte	BSG
Enterocyte	MT-CO2
Enterocyte	MYL6
Enterocyte	MT-CO1
Enterocyte	MUC13
Enterocyte	CDKN2B
Enterocyte	ALDOA
Enterocyte	MYH14
Enterocyte	MGLL
Enterocyte	AOC1
Enterocyte	MXD1
Enterocyte	GIPC1
Enterocyte	BLOC1S1
Enterocyte	PPDPF
Enterocyte	KRT19
Enterocyte	CKB
Enterocyte	AQP8
Enterocyte	SMPDL3A
Enterocyte	AGPAT2
Enterocyte	TRPM6
Enterocyte	MYL12A
Enterocyte	CLDN4
Enterocyte	NEAT1
Enterocyte	KRT8
Enterocyte	TMEM45B
Enterocyte	CLTB
Enterocyte	CHMP4B
Enterocyte	GNA11
Enterocyte	APPL2
Enterocyte	CES2
Enterocyte	EPCAM
Enterocyte	AHCYL2
Enterocyte	PARM1
Enterocyte	NDRG1
Enterocyte	PRR15
Enterocyte	TRIM31
Enterocyte	LRP10
Enterocyte	CFDP1
Enterocyte	EZR
Enterocyte	FAM132A
Enterocyte	PLS1
Enterocyte	ANPEP
Enterocyte	IL2RG
Enterocyte	SPATS2L
Enterocyte	PEX26
Enterocyte	IVNS1ABP
Enterocyte	DHRS11
Enterocyte	SH3BGRL3
Enterocyte	POLD4
Enterocyte	ATP1B1
Enterocyte	PTTG1IP
Enterocyte	S100A10
Enterocyte	LAMA1
Enterocyte	TMEM37
Enterocyte	CASP7
Enterocyte	TMBIM6
Enterocyte	RETSAT
Enterocyte	TMBIM1
Enterocyte	MT-ATP6
Enterocyte	LYPD8
Enterocyte	MAL2
Enterocyte	LGALS3
Enterocyte	ITM2B
Enterocyte	CLDN23
Enterocyte	PRSS8
Enterocyte	PLA2G10
Enterocyte	SLC17A4
Enterocyte	CAMK2N1
Enterocyte	RIOK3
Enterocyte	UBC
Enterocyte	KLF6
Enterocyte	SPINT1
Enterocyte	SLC16A3
Enterocyte	CYSTM1
Enterocyte	CD164
Enterocyte	MVP
Enterocyte	SULT1A2
Enterocyte	SERINC2
Enterocyte	DSC2
Enterocyte	CAPN2
Enterocyte	HIGD1A
Enterocyte	GPRC5A
Enterocyte	ABHD11-AS1
Enterocyte	VAPA
Enterocyte	EMP1
Enterocyte	B3GALT5
Enterocyte	CDH1
Enterocyte	SPINT2
Enterocyte	C1orf106
Enterocyte	CDH17
Enterocyte	HIST1H1C
Enterocyte	EPS8
Enterocyte	JUND
Enterocyte	TMPRSS2
Enterocyte	CHMP2B
Enterocyte	ABRACL
Enterocyte	TST
Enterocyte	CIB1
Enterocyte	MYH9
Enterocyte	PI3
Enterocyte	NAAA
Enterocyte	CTSS
Enterocyte	GNG12
Enterocyte	RAC1
Enterocyte	PLOD2
Enterocyte	LMO7
Enterocyte	TNFSF10
Enterocyte	PAG1
Enterocyte	BTNL3
Enterocyte	PCK1
Enterocyte	CHP1
Enterocyte	CTSZ
