type,gene
EntEnd,Gfra3
EntEnd,Chgb
EntEnd,Trp53i11
EntEnd,Neurod1
EntEnd,Vwa5b2
EntEnd,Cck
EntEnd,Rfx6
EntEnd,Prnp
EntEnd,Pcsk1
EntEnd,Syt13
EntEnd,Rph3al
EntEnd,Fabp5
EntEnd,Pam
EntEnd,Scgn
EntEnd,Aplp1
EntEnd,Fev
EntEnd,Scg5
EntEnd,Celf3
EntEnd,Resp18
EntEnd,Neurog3
EntEnd,Maged1
EntEnd,Scg3
EntEnd,Pax4
EntEnd,Olfm1
EntEnd,Cplx2
EntEnd,Isl1
EntEnd,Gpx3
EntEnd,Anxa6
EntEnd,Gng4
EntEnd,Mreg
EntEnd,Map1b
EntEnd,Bex2
EntEnd,Baiap3
EntEnd,Disp2
EntEnd,1700086L19Rik
EntEnd,Lrp11
EntEnd,Rimbp2
EntEnd,Snap25
EntEnd,Klhdc8b
EntEnd,Foxa2
EntEnd,Gck
EntEnd,Pcsk1n
EntEnd,Gdap1l1
EntEnd,Map3k15
EntEnd,Kcnh6
EntEnd,Kcnb2
EntEnd,Prodh2
EntEnd,Bex1
EntEnd,Lhfpl2
EntEnd,Fam183b
EntEnd,Nkx2-2
EntEnd,Pax6
EntEnd,Adprm
EntEnd,Dbpht2
EntEnd,Myt1
EntEnd,Kcnk16
EntEnd,Tac1
EntEnd,Scarb1
EntEnd,Acadsb
EntEnd,Vim
EntEnd,Xpnpep2
EntEnd,Acsl6
EntEnd,Bcmo1
EntEnd,Parp6
EntEnd,Plxnb1
EntEnd,Cnot6l
EntEnd,Ncald
EntEnd,Scg2
EntEnd,Phldb2
EntEnd,Peg3
EntEnd,Mapre3
EntEnd,Ids
EntEnd,Amigo2
EntEnd,Dner
EntEnd,Syp
EntEnd,Tox3
EntEnd,Insm1
EntEnd,Adora3
EntEnd,Tmem106c
EntEnd,Sstr1
EntEnd,Cbfa2t2
EntEnd,Slc39a2
EntEnd,Rasd1
EntEnd,Cacna2d1
EntEnd,Ngfrap1
EntEnd,Rab36
EntEnd,Akna
EntEnd,Ghrl
EntEnd,Gpr116
EntEnd,2610301B20Rik
EntEnd,Rbfox2
EntEnd,Pde1c
EntEnd,Mapk8ip2
EntEnd,Scn3a
EntEnd,Sstr5
EntEnd,Lypd1
EntEnd,Marcks
EntEnd,Riiad1
EntEnd,Trit1
EntEnd,Ptpru
EntEnd,Apbb1
EntEnd,Galr3
EntEnd,Rapgef4
EntEnd,Sphkap
EntEnd,Golim4
EntEnd,Nefm
EntEnd,Cdk2ap1
EntEnd,Tubb3
EntEnd,Tmem182
EntEnd,Fam135a
EntEnd,Fam43a
EntEnd,Golga7b
EntEnd,Slc26a4
EntEnd,Chd7
EntEnd,Cerkl
EntEnd,Cplx1
EntEnd,Galr1
EntEnd,Gpr119
EntEnd,Fam160a2
EntEnd,Pcp4l1
EntEnd,Efcab1
EntEnd,Maml3
EntEnd,Ap3b2
EntEnd,Trf
EntEnd,Rab31
EntEnd,Hnrnph3
EntEnd,Ffar1
EntEnd,Emb
EntEnd,Th
EntEnd,Ptprn
EntEnd,Prkar1b
EntEnd,Dock4
EntEnd,Kirrel2
EntEnd,Sh2d5
EntEnd,Tmem130
EntEnd,Pde11a
EntEnd,Nek5
EntEnd,Azi1
EntEnd,5430425J12Rik
EntEnd,Pnmal1
EntEnd,Dnahc9
EntEnd,Rnf122
EntEnd,Chst11
EntEnd,Tekt2
EntEnd,Mum1l1
EntEnd,Trpm2
EntEnd,Map9
EntEnd,Ctif
EntEnd,Btbd17
EntEnd,Lrrc16b
EntEnd,Rufy2
EntEnd,Ambp
EntEnd,Pkia
EntEnd,Pitpnc1
EntEnd,Mapkbp1
EntEnd,Unc13a
EntEnd,Gatm
EntEnd,Slc35d3
EntEnd,Spred3
EntEnd,Zc3h12c
EntEnd,Mapk15
EntEnd,March4
EntEnd,Pax6os1
EntEnd,Neurod2
EntEnd,Cidea
EntEnd,Klhl32
EntEnd,Hrh3
EntEnd,Slc8a1
EntEnd,Klhl31
EntEnd,Gfra1
EntEnd,Adgb
EntEnd,Lhx1
EntEnd,Plk5
Ent,Mep1b
Ent,Anpep
Ent,Gsta1
Ent,Apoa1
Ent,Gm3776
Ent,Igsf9
Ent,Il18
Ent,Ace2
Ent,Creb3l3
Ent,Krt20
Ent,Slc9a3
Ent,Dpep1
Ent,Slc25a45
Ent,Rbp2
Ent,Ms4a18
Ent,Reg3b
Ent,Reg3a
Ent,Clec2h
Ent,Slc51b
Ent,Cyp2d26
Ent,Adh6a
Ent,Bco2
Ent,Slc3a1
Ent,Cyp3a13
Ent,Slc16a5
Ent,Btnl1
Ent,2010106E10Rik
Ent,Maob
Ent,Sis
Ent,Acad11
Ent,Edn2
Ent,Spink3
Ent,H2-Q1
Ent,Sult2b1
Ent,Slc7a7
Ent,1700019G17Rik
Ent,Dgat2
Ent,Enpep
Ent,Fmo5
Ent,2010001E11Rik
Ent,Fam3b
Ent,Slc26a6
Ent,Mpp1
Ent,Ces1f
Ent,Apoa4
Ent,Slc5a11
Ent,2010003K11Rik
Ent,Eci3
Ent,Cyp4f14
Ent,Btnl6
Ent,Ace
Ent,Hsd17b6
Ent,Rdh7
Ent,Alpi
Ent,Gpd1
Ent,Ptprh
Ent,Papss2
Ent,Ggt1
Ent,Aldh1a1
Ent,Naaladl1
Ent,Agpat9
Ent,H2-Q2
Ent,Hsd17b2
Ent,Exoc3l4
Ent,Hpgd
Ent,Gnpda1
Ent,Gm1332
Ent,Ms4a10
Ent,Gm7092
Ent,Ugt2a3
Ent,Upp1
Ent,Lrrc19
Ent,Fmo4
Ent,Hkdc1
Ent,Nr1h3
Ent,Themis3
Ent,Agmo
Ent,Slc6a20a
Ent,Soat2
Ent,Ces2a
Ent,Bcl2l15
Ent,Entpd5
Ent,Cndp2
Ent,Tmem37
Ent,Gda
Ent,Abcg5
Ent,Ces2c
Ent,Mogat2
Ent,Abhd3
Ent,St3gal4
Ent,Gm8909
Ent,Slc5a1
Ent,Tubal3
Ent,Gstm3
Ent,Sphk1
Ent,Slc26a3
Ent,Tmem106a
Ent,Slc27a4
Ent,Sowaha
Ent,Slc6a4
Ent,Mme
Ent,Adamtsl5
Ent,Aldh1l1
Ent,Gpt
Ent,Igsf5
Ent,Emp1
Ent,Cox7a1
Ent,Ugt2b5
Ent,Apoc3
Ent,Abcg8
Ent,Ugt2b36
Ent,Pex11a
Ent,Osgin1
Ent,Gsta4
Ent,Slc28a1
Ent,Gm11437
Ent,Nat8
Ent,Nr1i3
Ent,Slc51a
Ent,Fabp1
Ent,Abcc2
Ent,Apob
Ent,Mical2
Ent,Mgat4c
Ent,H2-Bl
Ent,Hdhd3
Ent,Sec23a
Ent,Slc7a9
Ent,Tmem86a
Ent,Npc1l1
Ent,Btnl2
Ent,Acot9
Ent,Paqr7
Ent,Cblc
Ent,Tmem253
Ent,Smlr1
Ent,Abhd6
Ent,Amn
Ent,Pbld2
Ent,Mttp
Ent,Ap2a2
Ent,Ptk6
Ent,Vwce
Ent,Cideb
Ent,Sco2
Ent,Gramd3
Ent,Apol10a
Ent,Dpyd
Ent,Abat
Ent,Slc46a1
Ent,Adtrp
Ent,Xdh
Ent,Tgfbi
Ent,Chp2
Ent,Gyk
Ent,Khk
Ent,Lct
Ent,Atp6v0a2
Ent,Rhbg
