ensembl	biotype	gene_id	chr	start	stop
ENSMUSG00000002459	protein_coding	Rgs20	1	4899657	5060366
ENSMUSG00000005886	protein_coding	Ncoa2	1	13129186	13364164
ENSMUSG00000016918	protein_coding	Sulf1	1	12708626	12850452
ENSMUSG00000025900	protein_coding	Rp1	1	4334224	4350473
ENSMUSG00000025902	protein_coding	Sox17	1	4481009	4486494
ENSMUSG00000025903	protein_coding	Lypla1	1	4797869	4876851
ENSMUSG00000025905	protein_coding	Oprk1	1	5578574	5596212
ENSMUSG00000025907	protein_coding	Rb1cc1	1	6196278	6266729
ENSMUSG00000025909	protein_coding	Sntg1	1	8351556	9289959
ENSMUSG00000025911	protein_coding	Adhfe1	1	9538029	9568051
ENSMUSG00000025912	protein_coding	Mybl1	1	9657496	9690290
ENSMUSG00000025915	protein_coding	Sgk3	1	9788211	9892637
ENSMUSG00000025916	protein_coding	Ppp1r42	1	9958705	9999217
ENSMUSG00000025917	protein_coding	Cops5	1	10014683	10028208
ENSMUSG00000025920	protein_coding	Stau2	1	16218755	16510193
ENSMUSG00000025921	protein_coding	Rdh10	1	16095855	16123815
ENSMUSG00000025925	protein_coding	Terf1	1	15795739	15833551
ENSMUSG00000025930	protein_coding	Msc	1	14743427	14746047
ENSMUSG00000025932	protein_coding	Eya1	1	14159035	14300281
ENSMUSG00000025935	protein_coding	Tram1	1	13554783	13579945
ENSMUSG00000025937	protein_coding	Lactb2	1	13614926	13650627
ENSMUSG00000025938	protein_coding	Slco5a1	1	12856630	12981258
ENSMUSG00000025939	protein_coding	Ube2w	1	16559863	16609570
ENSMUSG00000025940	protein_coding	Tmem70	1	16655288	16668356
ENSMUSG00000032719	protein_coding	Gm106	1	15843943	15882803
ENSMUSG00000032769	protein_coding	Trpa1	1	14862729	14908943
ENSMUSG00000033740	protein_coding	St18	1	6477312	6851021
ENSMUSG00000033774	protein_coding	Npbwr1	1	5903788	5907479
ENSMUSG00000033793	protein_coding	Atp6v1h	1	5073254	5152630
ENSMUSG00000033813	protein_coding	Tcea1	1	4847775	4887987
ENSMUSG00000033845	protein_coding	Mrpl15	1	4763287	4775820
ENSMUSG00000042414	protein_coding	Prdm14	1	13103538	13117244
ENSMUSG00000042501	protein_coding	Cpa6	1	10314801	10710026
ENSMUSG00000043716	protein_coding	Rpl7	1	16091376	16094743
ENSMUSG00000045210	protein_coding	Vcpip1	1	9708703	9738463
ENSMUSG00000046101	protein_coding	6030422M02Rik	1	9898719	9932166
ENSMUSG00000046334	pseudogene	Gm6195	1	9792275	9792634
ENSMUSG00000048538	pseudogene	Gm9826	1	7167820	7169118
ENSMUSG00000048960	protein_coding	Prex2	1	10983546	11293763
ENSMUSG00000051285	protein_coding	Pcmtd1	1	7079001	7163707
ENSMUSG00000051951	protein_coding	Xkr4	1	3195982	3661579
ENSMUSG00000054493	protein_coding	Gm9947	1	14745535	14748454
ENSMUSG00000056763	protein_coding	Cspp1	1	10028299	10126849
ENSMUSG00000057715	protein_coding	A830018L16Rik	1	11404186	11965982
ENSMUSG00000061024	protein_coding	Rrs1	1	9535489	9537535
ENSMUSG00000062588	protein_coding	Gm6104	1	4869283	4870750
ENSMUSG00000064842	snRNA	U6	1	3092097	3092206
ENSMUSG00000065625	snRNA	U6	1	9448751	9448853
ENSMUSG00000066693	pseudogene	Gm7493	1	8953077	8953702
ENSMUSG00000067795	protein_coding	4930444P10Rik	1	16056060	16083406
ENSMUSG00000067813	protein_coding	Xkr9	1	13658852	13691804
ENSMUSG00000067851	protein_coding	Arfgef1	1	10127652	10222751
ENSMUSG00000067879	protein_coding	3110035E14Rik	1	9591280	9617224
ENSMUSG00000069620	protein_coding	Dppa5b	9	78093301	78094403
ENSMUSG00000073737	protein_coding	Gm10566	1	15258880	15259878
ENSMUSG00000076135	miRNA	AC163389.1	1	8806219	8806328
ENSMUSG00000077244	snoRNA	SNORA17	1	7255884	7256013
ENSMUSG00000077318	snoRNA	SNORA40	1	11124192	11124319
ENSMUSG00000077368	snoRNA	SNORA17	1	13764415	13764545
ENSMUSG00000077377	snoRNA	SNORA17	1	15747913	15748044
ENSMUSG00000079658	protein_coding	Tceb1	1	16632847	16646946
ENSMUSG00000079671	protein_coding	2610203C22Rik	1	9550913	9621256
ENSMUSG00000081201	pseudogene	Smt3h2-ps4	1	14829950	14830237
ENSMUSG00000081417	pseudogene	Gm15603	1	10685204	10685695
ENSMUSG00000081441	pseudogene	Gm6161	1	9564629	9565730
ENSMUSG00000082193	pseudogene	Rpl5-ps1	1	14855153	14856046
ENSMUSG00000083422	pseudogene	Gm15604	1	10544179	10545634
ENSMUSG00000084353	pseudogene	Gm15452	1	8782004	8782243
ENSMUSG00000085623	antisense	Gm16041	1	4960938	4966901
ENSMUSG00000086195	pseudogene	Gm6152	1	8846009	8846348
ENSMUSG00000086235	pseudogene	Gm16284	1	8458507	8458906
ENSMUSG00000087199	processed_transcript	Gm15818	1	9972468	9982447
ENSMUSG00000087247	lincRNA	Fam150a	1	6349537	6384812
ENSMUSG00000087782	snRNA	U6	1	13324579	13324690
ENSMUSG00000088000	snRNA	U6	1	4713358	4713460
ENSMUSG00000088153	misc_RNA	7SK	1	10156620	10156859
ENSMUSG00000088159	snoRNA	SNORA17	1	15009121	15009240
ENSMUSG00000088333	snRNA	U7	1	97462119	97462181
ENSMUSG00000088585	snoRNA	SNORA66	1	10911751	10911841
ENSMUSG00000088829	snoRNA	SNORA17	1	15676016	15676127
ENSMUSG00000088916	snRNA	U6	1	9824579	9824683
ENSMUSG00000088943	misc_RNA	7SK	1	15869611	15869913
ENSMUSG00000089358	misc_RNA	7SK	1	13922459	13922766
ENSMUSG00000089699	antisense	Gm1992	1	3456668	3503634
ENSMUSG00000089982	antisense	Gm7568	1	16243673	16258002
ENSMUSG00000090031	antisense	4732440D04Rik	1	6203374	6204671
ENSMUSG00000091305	pseudogene	Gm17100	1	4917109	4917380
ENSMUSG00000091665	pseudogene	Gm17101	1	5053141	5054728
ENSMUSG00000092083	protein_coding	Kcnb2	1	15277340	15704376
ENSMUSG00000093015	miRNA	AC103663.1	1	5634726	5634826
ENSMUSG00000093178	snoRNA	Snord87	1	9932544	9932630
ENSMUSG00000004768	protein_coding	Rab23	1	33776727	33799409
ENSMUSG00000025774	protein_coding	Crisp4	1	18105272	18135983
ENSMUSG00000025776	protein_coding	Crispld1	1	17717126	17756425
ENSMUSG00000025777	protein_coding	Gdap1	1	17135443	17154352
ENSMUSG00000025779	protein_coding	Ly96	1	16678537	16699686
ENSMUSG00000025927	protein_coding	Tfap2b	1	19198995	19228815
ENSMUSG00000025929	protein_coding	Il17a	1	20720986	20724577
ENSMUSG00000025931	protein_coding	Paqr8	1	20880691	20929632
ENSMUSG00000025933	protein_coding	Tmem14a	1	21208656	21220248
ENSMUSG00000025934	protein_coding	Gsta3	1	21230670	21255442
ENSMUSG00000025936	protein_coding	Gm4956	1	21275327	21288393
ENSMUSG00000026058	protein_coding	Khdrbs2	1	32229651	32714583
ENSMUSG00000026063	protein_coding	4930521A18Rik	1	31279684	31281132
ENSMUSG00000026064	protein_coding	Ptp4a1	1	30997148	31006615
ENSMUSG00000026123	protein_coding	Plekhb2	1	34906804	34936425
ENSMUSG00000026124	protein_coding	Cfc1	1	34592493	34601156
ENSMUSG00000026125	protein_coding	Prss39	1	34555275	34559907
ENSMUSG00000026126	protein_coding	Ptpn18	1	34516591	34532499
